edad_letra,edad,Mujeres,Hombres,Ambos sexos
menores de 1 año,< 1 año,29442,35081,32343
de 1 a 4 años,1-4,3844,4885,4379
de 5 a 14 años,5-14,1985,2334,2165
de 15 a 24 años,15-24,4499,2965,3708
de 25 a 34 años,25-34,10787,3286,7004
de 35 a 44 años,35-44,8912,4405,6663
de 45 a 54 años,45-54,6023,6618,6321
de 55 a 64 años,55-64,8042,11770,9866
de 65 a 74 años,65-74,12139,19428,15566
de 75 a 84 años,75-84,20177,30342,24544
de 85 a 89 años,85-89,30988,42341,35155
de 90 a 94 años,90-94,37899,49410,41508
de 95 años y más,95+,39090,48261,41415
total,total,9665,9402,9536
